Andaman & Nicobar Islands, 6556, 80787, 9746, 2011 
Andhra Pradesh (AP), 2805720, 18959462, 885993, 195535 
Arunachal Pradesh, 4983, 227690, 10463, 2297 
Assam, 221189, 5447201, 226697, 30217 
Bihar (BI), 247592, 16883440, 258752, 34447 
Chandigarh, 34998, 199639, 50207, 13488 
Chhattisgarh (CH), 392232, 4267675, 186996, 36386 
Dadra & Nagar Haveli, 7461, 64832, 2811, 648 
Daman & Diu, 8428, 41361, 4110, 307 
Delhi (DEL), 513143, 2967884, 486945, 156518 
Goa, 57246, 257479, 58424, 12502 
Gujarat (GJ), 1738450, 10294230, 998046, 153718 
Haryana (HR), 921001, 3920312, 543966, 101889 
Himachal Pradesh (HP), 152168, 1293758, 115816, 19200 
Jammu & Kashmir (J&K), 196184, 1577505, 148723, 19467 
Jharkhand (JH), 237464, 5485974, 220203, 35150 
Karnataka (KR), 1784800, 11427033, 707847, 153255 
Kerala (KL), 417735, 6929874, 636988, 127326 
Lakshadweep, 92, 11274, 1138, 122 
Madhya Pradesh (MP), 1050140, 11815891, 454809, 84778 
Maharashtra (MH), 3100640, 20825559, 1911836, 486890 
Manipur, 18672, 436026, 16349, 2859 
Meghalaya, 24038, 475840, 27773, 3562 
Mizoram, 7265, 166470, 19406, 2035 
Nagaland, 8962, 351355, 46548, 6420 
Orissa (OR), 408842, 7890793, 253844, 33863 
Pondicherry, 21573, 243370, 26290, 5743 
Punjab (PB), 1157860, 4514319, 598579, 113959 
Rajasthan (RJ), 1973570, 10602928, 624835, 94909 
Sikkim, 6133, 126322, 8112, 804 
Tamil Nadu (TN), 1968490, 16070118, 931568, 197068 
Tripura, 46584, 745367, 23733, 3067 
Uttar Pradesh (UP), 1585980, 30238608, 1322748, 230589 
Uttarakhand (UK), 155065, 1760095, 111436, 18149 
West Bengal (WB), 817732, 17448100, 951040, 162164
